DateTime,RawConc
2018-12-11,48.041666666666664
2018-12-12,66.08333333333333
2018-12-13,82.54166666666667
2018-12-14,79.5
2018-12-15,33.791666666666664
2018-12-16,36.958333333333336
2018-12-17,121.25
2018-12-18,59.833333333333336
2018-12-19,72.29166666666667
2018-12-20,185.375
2018-12-21,287.6521739130435
2018-12-22,80.91666666666667
2018-12-23,112.45833333333333
2018-12-24,41.541666666666664
2018-12-25,16.291666666666668
2018-12-26,36.416666666666664
2018-12-27,163.08695652173913
2018-12-28,282.5
2018-12-29,381.9583333333333
2018-12-30,269.9583333333333
2018-12-31,32.791666666666664
2019-01-01,29.708333333333332
2019-01-02,69.375
2019-01-03,28.041666666666668
2019-01-04,61.0
2019-01-05,86.04166666666667
2019-01-06,92.16666666666667
2019-01-07,26.125
2019-01-08,149.08333333333334
